tanggal,nama_provinsi,lat,lon,hujan_mm,suhu_rata,kelembaban_tanah,persentase_penduduk_miskin
2024-01-01,ACEH,4.6951,96.7494,10.2,20.0,0.502,14.23
2024-01-02,ACEH,4.6951,96.7494,4.4,20.8,0.495,14.23
2024-01-03,ACEH,4.6951,96.7494,1.9,20.3,0.495,14.23
2024-01-04,ACEH,4.6951,96.7494,2.1,20.0,0.487,14.23
2024-01-05,ACEH,4.6951,96.7494,5.6,20.2,0.481,14.23
2024-01-06,ACEH,4.6951,96.7494,8.3,19.7,0.491,14.23
2024-01-07,ACEH,4.6951,96.7494,22.8,19.8,0.496,14.23
2024-01-08,ACEH,4.6951,96.7494,10.7,19.5,0.497,14.23
2024-01-09,ACEH,4.6951,96.7494,9.9,19.3,0.501,14.23
2024-01-10,ACEH,4.6951,96.7494,4.6,19.2,0.497,14.23
2024-01-11,ACEH,4.6951,96.7494,4.3,19.5,0.489,14.23
2024-01-12,ACEH,4.6951,96.7494,1.4,19.5,0.481,14.23
2024-01-13,ACEH,4.6951,96.7494,2.2,19.1,0.47,14.23
2024-01-14,ACEH,4.6951,96.7494,2.9,19.8,0.467,14.23
2024-01-15,ACEH,4.6951,96.7494,1.6,19.6,0.461,14.23
2024-01-16,ACEH,4.6951,96.7494,9.1,20.4,0.473,14.23
2024-01-17,ACEH,4.6951,96.7494,22.3,19.6,0.495,14.23
2024-01-18,ACEH,4.6951,96.7494,3.7,20.0,0.495,14.23
2024-01-19,ACEH,4.6951,96.7494,4.6,19.1,0.494,14.23
2024-01-20,ACEH,4.6951,96.7494,4.6,19.4,0.491,14.23
2024-01-21,ACEH,4.6951,96.7494,4.5,19.0,0.489,14.23
2024-01-22,ACEH,4.6951,96.7494,1.4,19.1,0.481,14.23
2024-01-23,ACEH,4.6951,96.7494,4.1,19.8,0.475,14.23
2024-01-24,ACEH,4.6951,96.7494,16.8,20.2,0.488,14.23
2024-01-25,ACEH,4.6951,96.7494,17.2,20.3,0.499,14.23
2024-01-26,ACEH,4.6951,96.7494,26.3,20.2,0.499,14.23
2024-01-27,ACEH,4.6951,96.7494,13.2,20.0,0.506,14.23
2024-01-28,ACEH,4.6951,96.7494,19.1,20.0,0.504,14.23
2024-01-29,ACEH,4.6951,96.7494,5.6,19.8,0.491,14.23
2024-01-30,ACEH,4.6951,96.7494,2.5,20.4,0.485,14.23
2024-01-31,ACEH,4.6951,96.7494,1.6,20.8,0.48,14.23
2024-02-01,ACEH,4.6951,96.7494,2.1,20.5,0.472,14.23
2024-02-02,ACEH,4.6951,96.7494,10.2,20.2,0.474,14.23
2024-02-03,ACEH,4.6951,96.7494,27.2,20.5,0.494,14.23
2024-02-04,ACEH,4.6951,96.7494,3.7,20.1,0.478,14.23
2024-02-05,ACEH,4.6951,96.7494,1.8,21.0,0.469,14.23
2024-02-06,ACEH,4.6951,96.7494,0.1,20.4,0.458,14.23
2024-02-07,ACEH,4.6951,96.7494,1.3,20.2,0.447,14.23
2024-02-08,ACEH,4.6951,96.7494,3.8,19.9,0.444,14.23
2024-02-09,ACEH,4.6951,96.7494,7.7,19.9,0.455,14.23
2024-02-10,ACEH,4.6951,96.7494,0.3,20.0,0.469,14.23
2024-02-11,ACEH,4.6951,96.7494,2.5,19.3,0.458,14.23
2024-02-12,ACEH,4.6951,96.7494,1.4,19.2,0.464,14.23
2024-02-13,ACEH,4.6951,96.7494,0.5,19.9,0.455,14.23
2024-02-14,ACEH,4.6951,96.7494,4.2,20.4,0.452,14.23
2024-02-15,ACEH,4.6951,96.7494,24.9,19.9,0.478,14.23
2024-02-16,ACEH,4.6951,96.7494,7.1,19.8,0.485,14.23
2024-02-17,ACEH,4.6951,96.7494,1.8,20.6,0.475,14.23
2024-02-18,ACEH,4.6951,96.7494,2.9,20.5,0.481,14.23
2024-02-19,ACEH,4.6951,96.7494,26.1,20.8,0.498,14.23
2024-02-20,ACEH,4.6951,96.7494,54.5,20.5,0.51,14.23
2024-02-21,ACEH,4.6951,96.7494,5.2,20.0,0.498,14.23
2024-02-22,ACEH,4.6951,96.7494,2.6,21.3,0.487,14.23
2024-02-23,ACEH,4.6951,96.7494,11.9,20.6,0.494,14.23
2024-02-24,ACEH,4.6951,96.7494,2.3,20.6,0.489,14.23
2024-02-25,ACEH,4.6951,96.7494,3.3,21.0,0.477,14.23
2024-02-26,ACEH,4.6951,96.7494,3.2,20.6,0.474,14.23
2024-02-27,ACEH,4.6951,96.7494,4.3,20.1,0.473,14.23
2024-02-28,ACEH,4.6951,96.7494,4.7,20.6,0.464,14.23
2024-02-29,ACEH,4.6951,96.7494,10.0,20.8,0.469,14.23
2024-03-01,ACEH,4.6951,96.7494,0.2,20.3,0.472,14.23
2024-03-02,ACEH,4.6951,96.7494,1.7,20.6,0.457,14.23
2024-03-03,ACEH,4.6951,96.7494,12.6,20.6,0.465,14.23
2024-03-04,ACEH,4.6951,96.7494,7.4,20.4,0.482,14.23
2024-03-05,ACEH,4.6951,96.7494,24.2,20.2,0.497,14.23
2024-03-06,ACEH,4.6951,96.7494,0.6,21.0,0.489,14.23
2024-03-07,ACEH,4.6951,96.7494,13.0,21.1,0.494,14.23
2024-03-08,ACEH,4.6951,96.7494,24.5,20.6,0.503,14.23
2024-03-09,ACEH,4.6951,96.7494,8.3,20.1,0.499,14.23
2024-03-10,ACEH,4.6951,96.7494,3.4,20.3,0.495,14.23
2024-03-11,ACEH,4.6951,96.7494,2.1,20.4,0.484,14.23
2024-03-12,ACEH,4.6951,96.7494,0.1,20.9,0.468,14.23
2024-03-13,ACEH,4.6951,96.7494,0.1,20.9,0.454,14.23
2024-03-14,ACEH,4.6951,96.7494,1.0,20.5,0.443,14.23
2024-03-15,ACEH,4.6951,96.7494,4.3,20.2,0.444,14.23
2024-03-16,ACEH,4.6951,96.7494,5.4,20.0,0.456,14.23
2024-03-17,ACEH,4.6951,96.7494,1.1,20.4,0.451,14.23
2024-03-18,ACEH,4.6951,96.7494,2.2,20.6,0.439,14.23
2024-03-19,ACEH,4.6951,96.7494,5.4,20.4,0.458,14.23
2024-03-20,ACEH,4.6951,96.7494,10.3,20.0,0.486,14.23
2024-03-21,ACEH,4.6951,96.7494,5.6,20.4,0.484,14.23
2024-03-22,ACEH,4.6951,96.7494,3.9,20.8,0.469,14.23
2024-03-23,ACEH,4.6951,96.7494,6.2,21.3,0.486,14.23
2024-03-24,ACEH,4.6951,96.7494,2.7,21.2,0.485,14.23
2024-03-25,ACEH,4.6951,96.7494,5.7,20.8,0.486,14.23
2024-03-26,ACEH,4.6951,96.7494,9.4,20.8,0.497,14.23
2024-03-27,ACEH,4.6951,96.7494,32.0,20.0,0.504,14.23
2024-03-28,ACEH,4.6951,96.7494,2.0,21.0,0.491,14.23
2024-03-29,ACEH,4.6951,96.7494,13.2,20.4,0.488,14.23
2024-03-30,ACEH,4.6951,96.7494,7.4,20.4,0.493,14.23
2024-03-31,ACEH,4.6951,96.7494,23.4,20.5,0.498,14.23
2024-04-01,ACEH,4.6951,96.7494,14.8,20.3,0.497,14.23
2024-04-02,ACEH,4.6951,96.7494,18.4,20.4,0.496,14.23
2024-04-03,ACEH,4.6951,96.7494,18.5,20.6,0.497,14.23
2024-04-04,ACEH,4.6951,96.7494,10.0,20.5,0.497,14.23
2024-04-05,ACEH,4.6951,96.7494,0.9,21.2,0.489,14.23
2024-04-06,ACEH,4.6951,96.7494,0.2,21.7,0.475,14.23
2024-04-07,ACEH,4.6951,96.7494,0.1,22.0,0.459,14.23
2024-04-08,ACEH,4.6951,96.7494,31.4,21.3,0.473,14.23
2024-04-09,ACEH,4.6951,96.7494,36.5,20.4,0.5,14.23
2024-04-10,ACEH,4.6951,96.7494,0.7,20.6,0.49,14.23
2024-04-11,ACEH,4.6951,96.7494,6.3,21.0,0.489,14.23
2024-04-12,ACEH,4.6951,96.7494,3.6,21.1,0.485,14.23
2024-04-13,ACEH,4.6951,96.7494,4.0,20.8,0.477,14.23
2024-04-14,ACEH,4.6951,96.7494,10.3,20.5,0.484,14.23
2024-04-15,ACEH,4.6951,96.7494,8.7,20.8,0.485,14.23
2024-04-16,ACEH,4.6951,96.7494,18.3,20.5,0.489,14.23
2024-04-17,ACEH,4.6951,96.7494,6.5,20.9,0.499,14.23
2024-04-18,ACEH,4.6951,96.7494,16.0,21.0,0.498,14.23
2024-04-19,ACEH,4.6951,96.7494,12.3,20.4,0.502,14.23
2024-04-20,ACEH,4.6951,96.7494,3.9,21.4,0.499,14.23
2024-04-21,ACEH,4.6951,96.7494,2.7,21.2,0.493,14.23
2024-04-22,ACEH,4.6951,96.7494,15.2,21.1,0.493,14.23
2024-04-23,ACEH,4.6951,96.7494,10.4,20.8,0.496,14.23
2024-04-24,ACEH,4.6951,96.7494,13.0,21.0,0.496,14.23
2024-04-25,ACEH,4.6951,96.7494,5.5,20.8,0.496,14.23
2024-04-26,ACEH,4.6951,96.7494,2.7,21.2,0.492,14.23
2024-04-27,ACEH,4.6951,96.7494,5.7,21.4,0.493,14.23
2024-04-28,ACEH,4.6951,96.7494,19.6,21.4,0.497,14.23
2024-04-29,ACEH,4.6951,96.7494,5.6,21.3,0.494,14.23
2024-04-30,ACEH,4.6951,96.7494,2.7,21.1,0.488,14.23
2024-05-01,ACEH,4.6951,96.7494,5.3,20.9,0.491,14.23
2024-05-02,ACEH,4.6951,96.7494,3.0,21.2,0.492,14.23
2024-05-03,ACEH,4.6951,96.7494,2.6,20.9,0.491,14.23
2024-05-04,ACEH,4.6951,96.7494,0.9,20.8,0.489,14.23
2024-05-05,ACEH,4.6951,96.7494,4.1,21.9,0.488,14.23
2024-05-06,ACEH,4.6951,96.7494,16.7,21.2,0.493,14.23
2024-05-07,ACEH,4.6951,96.7494,9.4,20.9,0.499,14.23
2024-05-08,ACEH,4.6951,96.7494,4.7,21.5,0.494,14.23
2024-05-09,ACEH,4.6951,96.7494,10.7,21.6,0.493,14.23
2024-05-10,ACEH,4.6951,96.7494,21.1,20.8,0.497,14.23
2024-05-11,ACEH,4.6951,96.7494,13.4,21.2,0.497,14.23
2024-05-12,ACEH,4.6951,96.7494,38.0,21.3,0.499,14.23
2024-05-13,ACEH,4.6951,96.7494,8.4,21.5,0.497,14.23
2024-05-14,ACEH,4.6951,96.7494,7.5,21.0,0.501,14.23
2024-05-15,ACEH,4.6951,96.7494,6.5,21.2,0.496,14.23
2024-05-16,ACEH,4.6951,96.7494,29.2,20.9,0.501,14.23
2024-05-17,ACEH,4.6951,96.7494,35.3,21.8,0.502,14.23
2024-05-18,ACEH,4.6951,96.7494,14.3,21.8,0.502,14.23
2024-05-19,ACEH,4.6951,96.7494,8.1,21.5,0.497,14.23
