Provinsi,Tahun,Gini Ratio,Persentase Penduduk Miskin (P0),Produk Domestik Regional Bruto per Kapita,Angka Partisipasi Murni (APM),Harapan Lama Sekolah,Rata-Rata Lama Sekolah Penduduk
ACEH,2016,0.341,16.43,26852.0,70.0,13.89,9.36
ACEH,2017,0.329,15.92,28097.0,70.15,14.13,9.42
ACEH,2018,0.318,15.68,29521.0,70.26,14.27,9.46
ACEH,2019,0.321,15.01,30879.0,70.35,14.3,9.68
ACEH,2020,0.319,15.43,31633.0,70.7,14.31,9.71
ACEH,2021,0.323,15.53,34674.0,70.8,14.36,9.77
ACEH,2022,0.291,14.75,38767.0,71.16,14.37,9.79
ACEH,2023,0.296,14.45,41408.0,71.7,14.38,9.89
ACEH,2024,0.294,12.64,43782.0,70.94,14.39,9.95
SUMATERA UTARA,2016,0.312,10.27,44392.0,66.85,13.0,9.46
SUMATERA UTARA,2017,0.335,9.28,48004.0,67.05,13.1,9.55
SUMATERA UTARA,2018,0.311,8.94,51427.0,67.27,13.14,9.61
SUMATERA UTARA,2019,0.315,8.63,54620.0,67.53,13.15,8.56
SUMATERA UTARA,2020,0.314,9.14,54979.0,68.0,13.23,9.83
SUMATERA UTARA,2021,0.313,8.49,57442.0,67.99,13.27,9.88
SUMATERA UTARA,2022,0.326,8.33,62922.0,68.27,13.31,9.99
SUMATERA UTARA,2023,0.309,8.15,68306.0,68.67,13.48,10.07
SUMATERA UTARA,2024,0.306,7.19,73575.0,69.72,13.49,10.18
SUMATERA BARAT,2016,0.312,7.14,37285.0,67.12,13.79,8.97
SUMATERA BARAT,2017,0.312,6.75,40194.0,67.3,13.94,9.02
SUMATERA BARAT,2018,0.305,6.55,42803.0,67.48,13.95,9.1
SUMATERA BARAT,2019,0.307,6.29,44886.0,68.53,14.01,4.76
SUMATERA BARAT,2020,0.301,6.56,43826.0,68.9,14.02,9.34
SUMATERA BARAT,2021,0.3,6.04,45218.0,68.99,14.09,9.46
SUMATERA BARAT,2022,0.292,6.04,50264.0,68.38,14.1,9.51
SUMATERA BARAT,2023,0.28,5.95,54327.0,69.18,14.11,9.59
SUMATERA BARAT,2024,0.287,5.42,57047.0,72.5,14.3,9.72
RIAU,2016,0.347,7.67,104861.0,62.76,12.86,8.97
RIAU,2017,0.325,7.41,105845.0,63.02,13.03,9.06
RIAU,2018,0.347,7.21,110385.0,63.47,13.11,9.11
RIAU,2019,0.331,6.9,111227.0,63.55,13.14,6.28
RIAU,2020,0.321,7.04,114167.0,64.01,13.2,9.47
RIAU,2021,0.327,7.0,129741.0,64.0,13.28,9.52
RIAU,2022,0.323,6.84,151259.0,63.87,13.29,9.54
RIAU,2023,0.324,6.68,154522.0,64.81,13.3,9.6
RIAU,2024,0.306,6.36,165350.0,68.04,13.42,9.69
JAMBI,2016,0.346,8.37,49495.0,59.52,12.72,8.55
JAMBI,2017,0.334,7.9,53993.0,59.98,12.87,8.61
