tahun,total usia produktif,total usia non-produktif
1960,51032439,37263631
1961,52172647,38618602
1962,53306947,40068903
1963,54432895,41618529
1964,55549421,43284328
1965,56475941,44889189
1966,57358142,46434612
1967,58460364,48066029
1968,59749845,49700161
1969,61204686,51312953
1970,62772658,52884837
1971,64435444,54398258
1972,66182115,55857726
1973,68009478,57279037
1974,69920463,58634582
1975,71916490,59927358
1976,73990466,61183189
1977,76140580,62392961
1978,78371364,63581799
1979,80685018,64749816
1980,83088459,65862081
1981,85584393,66900642
1982,88161478,67890674
1983,90805444,68845937
1984,93512503,69738621
1985,96266717,70509468
1986,99041568,71133497
1987,101828988,71682166
1988,104638751,72216314
1989,107446780,72754850
1990,110249393,73251705
1991,113063052,73715186
1992,115880043,74163701
1993,118733274,74571894
1994,121624019,74967809
1995,124515992,75372065
1996,127399409,75804939
1997,130284461,76251634
1998,133158322,76668466
1999,135980059,77024609
2000,138688417,77389373
2001,141250381,77847521
2002,143732110,78356385
2003,146204119,78843889
2004,148627779,79298870
2005,151013392,79858258
2006,153426404,80525248
2007,155827570,81234767
2008,158210548,81947355
2009,160614192,82605836
2010,163044947,83260375
2011,165513248,83956784
2012,168023153,84675372
2013,170518390,85334077
2014,172949301,85928098
2015,175281115,86518134
2016,177506245,87121173
2017,179652374,87694284
2018,181715656,88236190
2019,183718792,88770589
2020,185658524,89156342
2021,187469916,89288137
2022,189329461,89501068
2023,191256542,89933525
2024,193093840,90394091
