Provinsi,Presentase Pengeluaran Telekomunikasi,Persentase Usaha E-Commerce ,Persentase Usaha Non E-Commerce ,Pemerintah Pemberi Pelatihan E-Commerce,Swasta Pemberi Pelatihan E-Commerce,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),Produk Domestik Regional Bruto per Kapita HB (Ribu Rp)
ACEH,94.19,31.53,68.47,67.05,32.95,6.03,41408
SUMATERA UTARA,95.94,42.81,57.19,34.61,71.12,5.89,68306
SUMATERA BARAT,95.77,22.29,77.71,68.75,32.08,5.94,54327
RIAU,97.76,45.23,54.77,37.61,62.39,4.23,154522
JAMBI,95.22,35.8,64.2,59.55,40.45,4.53,79850
SUMATERA SELATAN,95.67,28.46,71.54,44.15,58.84,4.11,71958
BENGKULU,94.92,32.21,67.79,50.81,50.16,3.42,46300
LAMPUNG,96.38,39.32,60.68,24.6,75.4,4.23,48191
KEP. BANGKA BELITUNG,96.13,37.7,62.3,65.82,36.06,4.56,67813
KEP. RIAU,98.51,47.82,52.18,48.56,52.77,6.8,154065
DKI JAKARTA,98.63,56.79,43.21,23.73,76.27,6.53,322619
JAWA BARAT,90.74,44.55,55.45,35.64,65.98,7.44,52652
JAWA TENGAH,88.74,40.74,59.26,55.04,44.96,5.13,45167
DI YOGYAKARTA,92.29,44.51,55.49,53.84,48.09,3.69,48360
JAWA TIMUR,89.51,43.24,56.76,45.18,59.31,4.88,71122
BANTEN,93.23,52.71,47.29,26.78,74.12,7.52,66147
BALI,92.91,41.45,58.55,17.28,84.42,2.69,62294
NUSA TENGGARA BARAT,91.19,25.09,74.91,64.39,35.61,2.8,29926
NUSA TENGGARA TIMUR,90.53,18.2,81.8,49.75,52.69,3.14,23078
KALIMANTAN BARAT,93.46,32.12,67.88,53.6,52.78,5.05,48809
KALIMANTAN TENGAH,95.03,32.77,67.23,49.71,50.29,4.1,75271
KALIMANTAN SELATAN,92.85,29.61,70.39,23.4,79.05,4.31,63754
KALIMANTAN TIMUR,97.81,41.81,58.19,47.98,52.02,5.31,215761
KALIMANTAN UTARA,97.85,35.63,64.37,56.68,43.32,4.01,201749
SULAWESI UTARA,93.6,38.96,61.04,58.67,55.86,6.1,64131
SULAWESI TENGAH,92.19,33.12,66.88,38.43,70.76,2.95,112461
SULAWESI SELATAN,96.01,34.08,65.92,36.45,63.55,4.33,69710
SULAWESI TENGGARA,97.01,26.07,73.93,63.93,36.07,3.15,64088
GORONTALO,94.39,20.52,79.48,50.95,49.05,3.06,42341
SULAWESI BARAT,93.65,33.92,66.08,40.45,59.55,2.27,39547
MALUKU,91.87,19.6,80.4,36.79,67.3,6.31,30455
MALUKU UTARA,93.09,25.26,74.74,28.31,71.69,4.31,63675
PAPUA BARAT,90.32,20.72,79.28,62.92,37.08,5.38,108110
PAPUA,54.62,21.59,78.41,34.99,65.01,2.67,78055
