iter	Passed	Remaining
0	13	6714
1	27	6724
2	39	6613
3	51	6441
4	65	6446
5	77	6382
6	90	6345
7	102	6302
8	114	6261
9	126	6222
10	139	6186
11	152	6221
12	165	6192
13	177	6176
14	190	6151
15	203	6141
16	216	6142
17	229	6149
18	242	6142
19	255	6134
20	268	6132
21	281	6115
22	294	6104
23	306	6088
24	319	6061
25	332	6054
26	345	6052
27	358	6049
28	370	6019
29	383	6005
30	395	5984
31	409	5982
32	421	5959
33	434	5958
34	447	5945
35	460	5929
36	472	5912
37	485	5906
38	498	5897
39	512	5888
40	524	5873
41	537	5864
42	550	5850
43	563	5841
44	577	5835
45	589	5822
46	602	5805
47	615	5793
48	628	5780
49	641	5772
50	654	5762
51	667	5748
52	680	5740
53	693	5725
54	705	5711
55	717	5691
56	730	5676
57	742	5660
58	756	5651
59	768	5638
60	781	5621
61	793	5607
62	807	5597
63	819	5585
64	831	5566
65	844	5552
66	857	5538
67	870	5529
68	882	5514
69	895	5498
70	908	5486
71	920	5472
72	932	5456
73	945	5440
74	957	5427
75	971	5418
76	983	5404
77	996	5392
78	1009	5381
79	1022	5368
80	1036	5360
81	1049	5347
82	1061	5335
83	1075	5324
84	1088	5312
85	1101	5302
86	1113	5287
87	1126	5273
88	1139	5260
89	1151	5246
90	1163	5230
91	1176	5216
92	1189	5204
93	1202	5195
94	1216	5186
95	1230	5176
96	1242	5161
97	1255	5151
98	1268	5138
99	1282	5128
100	1294	5115
101	1307	5102
102	1320	5087
103	1332	5073
104	1345	5059
105	1358	5048
106	1370	5035
107	1383	5020
108	1396	5009
109	1409	4998
110	1422	4983
111	1435	4973
112	1448	4961
113	1462	4953
114	1475	4939
115	1487	4923
116	1500	4911
117	1513	4900
118	1526	4886
119	1538	4871
120	1551	4859
121	1563	4845
122	1576	4832
123	1589	4818
124	1602	4806
125	1615	4793
126	1627	4780
127	1640	4766
128	1652	4752
129	1665	4739
130	1678	4726
131	1691	4714
132	1704	4702
133	1716	4688
134	1729	4675
135	1742	4663
136	1754	4649
137	1767	4635
138	1779	4622
139	1792	4610
140	1806	4598
141	1819	4587
142	1832	4574
143	1845	4561
144	1858	4548
145	1870	4535
146	1883	4522
147	1896	4510
148	1909	4498
149	1922	4485
150	1934	4471
151	1947	4458
152	1960	4446
153	1973	4434
154	1986	4421
155	1998	4407
156	2011	4393
157	2024	4381
158	2038	4371
159	2050	4358
160	2064	4346
161	2077	4334
162	2090	4321
163	2103	4309
164	2116	4297
165	2129	4283
166	2141	4270
167	2154	4258
168	2167	4245
169	2179	4230
170	2193	4220
171	2207	4208
172	2220	4196
173	2232	4182
174	2245	4169
175	2258	4157
176	2271	4146
177	2284	4133
178	2297	4119
179	2309	4105
180	2322	4093
181	2335	4080
182	2348	4068
183	2360	4054
184	2374	4042
185	2386	4029
186	2399	4016
187	2411	4002
188	2424	3990
189	2438	3978
190	2451	3966
191	2465	3954
192	2477	3941
193	2489	3927
194	2503	3915
195	2516	3903
196	2529	3890
197	2542	3877
198	2555	3865
199	2569	3853
200	2581	3840
201	2594	3828
202	2607	3814
203	2619	3801
204	2633	3789
205	2645	3776
206	2658	3763
207	2671	3750
208	2684	3737
209	2697	3724
210	2710	3711
211	2722	3697
212	2735	3685
213	2747	3672
214	2761	3660
215	2774	3648
216	2786	3634
217	2799	3620
218	2812	3609
219	2825	3596
220	2837	3582
221	2850	3569
222	2862	3555
223	2876	3544
224	2889	3531
225	2902	3518
226	2915	3506
227	2928	3493
228	2940	3479
229	2952	3466
230	2965	3453
231	2978	3440
232	2991	3428
233	3005	3416
234	3017	3402
235	3030	3389
236	3043	3377
237	3056	3364
238	3068	3350
239	3081	3338
240	3094	3325
241	3108	3313
242	3121	3300
243	3134	3288
244	3147	3275
245	3160	3262
246	3173	3250
247	3186	3237
248	3199	3225
249	3213	3213
250	3225	3199
251	3238	3187
252	3251	3174
253	3264	3161
254	3276	3148
255	3290	3135
256	3303	3123
257	3315	3109
258	3327	3096
259	3340	3083
260	3353	3070
261	3366	3057
262	3379	3045
263	3392	3032
264	3405	3019
265	3417	3006
266	3429	2992
267	3441	2979
268	3455	2967
269	3468	2954
270	3481	2942
271	3494	2928
272	3507	2916
273	3520	2903
274	3534	2891
275	3546	2878
276	3559	2865
277	3572	2852
278	3584	2839
279	3598	2827
280	3611	2814
281	3623	2801
282	3635	2788
283	3649	2776
284	3662	2763
285	3674	2749
286	3687	2736
287	3699	2723
288	3713	2711
289	3725	2697
290	3737	2684
291	3750	2671
292	3764	2659
293	3776	2646
294	3788	2632
295	3801	2619
296	3814	2607
297	3827	2594
298	3839	2581
299	3851	2567
300	3864	2555
301	3878	2542
302	3891	2530
303	3904	2517
304	3916	2504
305	3929	2491
306	3942	2478
307	3954	2465
308	3967	2452
309	3979	2439
310	3993	2426
311	4006	2413
312	4018	2401
313	4032	2388
314	4045	2375
315	4058	2363
316	4070	2349
317	4083	2337
318	4096	2324
319	4109	2311
320	4122	2299
321	4134	2285
322	4147	2272
323	4161	2260
324	4174	2247
325	4186	2234
326	4200	2222
327	4213	2209
328	4226	2196
329	4239	2183
330	4251	2170
331	4265	2158
332	4277	2145
333	4290	2132
334	4303	2119
