funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent,state_California,state_Florida,state_Georgia,state_Illinois,state_Michigan,state_New York,state_North Carolina,state_Ohio,state_Pennsylvania,state_Texas,school_type_Charter,school_type_Private,school_type_Public,grade_level_Elementary,grade_level_High,grade_level_Middle
23559.56,93.5,17.4,37.8,27.1,87.4,0.74,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
21000.4,83.7,20.7,19.3,69.0,71.8631591796875,12.41,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
6934.54,89.6,10.7,53.5,57.7,54.2,2.12,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
16441.31,57.3,28.1,63.5,67.1774673461914,89.4,3.14,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
9151.9,89.0,17.4,68.9,86.5,58.1,4.79,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
24702.86,73.3,22.0,21.8,67.5,61.6,1.18,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
19639.17,61.0,17.924455642700195,53.2,47.7,55.8,12.11,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
23806.61,52.6,25.2,56.3,42.1,77.92857360839844,13.27,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
22737.04,79.2,10.4,75.6,41.8,56.1,3.63,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
18820.76,44.9,12.0,44.9,30.3,77.92857360839844,11.29,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
9839.32,63.4,16.0,55.9,22.4,80.0,12.89,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
20737.9,65.4,15.1,86.8,94.1,63.2,9.48,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
12901.02,72.3,15.3,59.2,16.7,50.1,14.86,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
17323.96,88.6,14.3,32.1,64.4,83.3,0.94,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
13518.15,82.1,18.17152976989746,77.0,10.9,51.4,14.0,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
10008.7,98.1,24.3,76.8,69.8,76.8,4.55,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
18622.82,97.4,14.3,40.9,33.8,55.2,3.06,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
17592.66,96.8,19.9,63.3,34.0,92.0,8.22,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
21359.505859375,52.1,13.2,43.8,19.6,85.7,5.57,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
18292.05078125,69.7,12.3,15.9,8.5,80.1,5.11,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
10539.84,79.9,23.6,50.4,60.5,97.4,4.7,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
20276.76,47.305084228515625,28.9,36.4,21.2,60.5,11.89,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
24955.96,66.12040710449219,19.4,30.7,9.3,53.7,5.25,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
8712.23,97.1,28.5,54.1,78.7,80.1,12.59,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
9221.91,91.7,16.18901252746582,42.223148345947266,56.7,54.3,12.52,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
24890.74,72.8,18.239643096923828,45.71052551269531,35.8,51.1,14.75,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
